,1,2,3,4,5,6,7,8,9,10,11,12
A,0_hxa,0_hxb,0_hxc,0_n1a,0_n1b,0_n1c,0_n2a,0_n2b,0_n2c,0_n3a,0_n3b,0_n3c
B,0.05_hxa,0.05_hxb,0.05_hxc,0.05_n1a,0.05_n1b,0.05_n1c,0.05_n2a,0.05_n2b,0.05_n2c,0.05_n3a,0.05_n3b,0.05_n3c
C,0.075_hxa,0.075_hxb,0.075_hxc,0.075_n1a,0.075_n1b,0.075_n1c,0.075_n2a,0.075_n2b,0.075_n2c,0.075_n3a,0.075_n3b,0.075_n3c
D,0.1_hxa,0.1_hxb,0.1_hxc,0.1_n1a,0.1_n1b,0.1_n1c,0.1_n2a,0.1_n2b,0.1_n2c,0.1_n3a,0.1_n3b,0.1_n3c
E,0.15_hxa,0.15_hxb,0.15_hxc,0.15_n1a,0.15_n1b,0.15_n1c,0.15_n2a,0.15_n2b,0.15_n2c,0.15_n3a,0.15_n3b,0.15_n3c
F,0.2_hxa,0.2_hxb,0.2_hxc,0.2_n1a,0.2_n1b,0.2_n1c,0.2_n2a,0.2_n2b,0.2_n2c,0.2_n3a,0.2_n3b,0.2_n3c
G,0.4_hxa,0.4_hxb,0.4_hxc,0.4_n1a,0.4_n1b,0.4_n1c,0.4_n2a,0.4_n2b,0.4_n2c,0.4_n3a,0.4_n3b,0.4_n3c
H,1_hxa,1_hxb,1_hxc,1_n1a,1_n1b,1_n1c,1_n2a,1_n2b,1_n2c,1_n3a,1_n3b,1_n3c
