upid,GLC_BATCH_mu=0.58_S,LB_BATCH_mu=1.9_S,GLYC+AA_BATCH_mu=1.27_S,ACE_BATCH_mu=0.3_S,FUM_BATCH_mu=0.42_S,GAM_BATCH_mu=0.46_S,GLYC_BATCH_mu=0.47_S,PYR_BATCH_mu=0.40_S,GLC_CHEM_mu=0.50_S,GLC_CHEM_mu=0.35_S,GLC_CHEM_mu=0.20_S,GLC_CHEM_mu=0.12_S,GLC_STATIONARY1d_mu=-0.01_S,GLC_STATIONARY3d_mu=-0.01_S,GLC+SALTS_BATCH_mu=0.55_S,GLC@42deg_BATCH_mu=0.66_S,GLC@pH6_BATCH_mu=0.63_S,XYL_BATCH_mu=0.55_S,MAN_BATCH_mu=0.47_S,GAL_BATCH_mu=0.26_S,SUCC_BATCH_mu=0.44_S,FRU_BATCH_mu=0.65_S
P31663,1285.75,1436.67,1365.38,1091.65,1187.61,1172.50,1358.91,1420.41,1108.19,931.66,902.43,816.70,709.59,716.94,1439.11,1510.98,1557.01,1329.22,998.67,1027.71,1041.42,1315.74
P04425,1278.93,1594.44,1638.01,1115.93,1043.17,1059.86,1154.15,1073.17,1020.89,958.18,870.38,841.60,583.02,586.15,1269.60,1013.93,1388.26,1300.69,1157.40,1082.72,1113.54,1272.79
P69783,33523.93,25210.19,27050.80,17107.96,21003.54,29540.74,24827.07,20524.57,26225.50,24666.94,23750.38,23448.77,18976.58,22967.05,34344.94,32035.51,32330.79,23122.10,25358.04,24930.72,19714.64,29308.60
P0A6V1,239.84,308.52,283.50,287.61,212.66,256.97,291.80,309.72,427.33,381.94,373.70,397.78,221.85,262.86,223.58,326.33,328.14,268.77,260.31,181.30,212.88,274.38
P24215,394.80,1901.80,858.69,347.47,507.57,447.77,493.77,332.12,417.04,480.62,578.85,518.44,224.73,158.55,247.74,293.67,316.43,286.14,580.37,417.35,381.28,359.61
P02924,34.96,100.68,81.46,144.93,236.45,138.74,88.83,108.74,118.17,311.62,380.97,656.14,308.26,257.99,51.98,61.53,27.33,88.67,176.44,338.55,163.12,29.03
P69811,301.04,590.15,394.53,137.59,179.21,389.30,257.30,135.64,265.52,223.50,205.59,177.97,244.33,423.47,408.40,541.52,320.14,354.80,264.95,185.46,165.31,6903.33
P69831,580.38,3566.76,2059.82,2413.53,3003.01,3057.84,2294.51,2748.04,4826.00,6462.37,4783.47,3799.98,176.25,137.80,217.34,320.27,371.92,1098.86,2585.21,1145.55,3242.06,2048.90
P0AE12,425.88,312.60,298.33,393.11,360.90,438.00,446.16,449.58,487.10,391.01,403.12,336.61,327.23,295.82,523.44,585.17,566.70,530.29,397.98,351.03,345.04,447.96
P60560,1144.68,1214.53,663.05,650.05,1165.99,1032.57,1148.58,1217.19,1189.63,577.39,348.36,251.41,347.36,414.23,659.65,1341.52,779.69,1110.37,898.21,728.94,1157.21,1164.77
P0AG16,770.65,110.40,634.07,280.11,330.76,453.05,394.42,497.79,457.31,301.60,211.12,169.22,93.66,116.63,377.96,765.02,376.36,390.75,435.84,240.24,400.91,620.19
P07024,363.45,458.87,540.80,299.89,374.96,442.42,384.56,315.29,346.43,333.85,318.37,279.41,303.43,335.76,412.74,457.69,418.13,338.18,331.25,333.87,363.82,295.71
P0A6C8,6390.85,405.05,526.87,2342.94,2927.68,3413.81,3863.57,3904.60,2748.10,1761.08,1870.68,2262.55,633.60,666.20,3107.90,5517.96,4452.68,3675.77,3547.20,2759.16,3628.99,5485.61
P05194,881.14,475.26,574.31,429.33,477.40,709.41,603.46,607.16,446.10,372.18,301.83,266.71,278.71,325.85,920.87,1016.07,1228.42,806.27,571.81,480.53,522.96,792.40
P09053,553.23,382.57,423.52,363.36,368.06,358.58,371.68,328.66,370.44,347.89,251.31,159.50,52.38,27.69,536.70,642.55,493.82,380.41,236.77,247.82,273.60,360.66
P00935,1916.27,234.92,426.81,1073.92,695.70,834.13,1346.72,870.45,1209.77,653.18,776.32,747.32,478.38,236.72,806.00,1441.99,1291.36,1210.73,1002.05,1016.19,883.07,1585.02
P06721,2127.83,318.68,360.44,760.28,945.16,799.47,1005.86,1043.07,1164.95,1016.88,924.92,777.79,188.26,281.27,576.03,689.14,1062.88,1028.71,1002.53,632.41,643.01,877.59
P16456,708.33,1402.20,1038.44,671.36,709.11,644.48,664.85,667.20,692.42,610.85,519.72,462.59,291.04,308.53,986.50,843.48,834.33,788.55,667.95,391.74,572.55,574.20
P21156,1300.33,362.29,797.22,588.90,812.85,746.95,853.67,736.30,870.56,475.69,360.23,232.76,125.62,99.62,537.33,1645.74,980.41,833.69,625.55,420.37,627.70,1113.35
P17854,1860.83,476.21,1336.88,706.88,1185.71,1443.57,1572.33,1247.07,849.15,609.18,436.17,345.74,184.00,147.42,685.55,1439.65,893.50,1050.45,919.98,822.06,947.63,1532.34
P0A6C5,332.62,221.59,142.45,157.35,189.71,198.29,253.40,246.37,365.11,206.39,169.25,176.74,76.38,65.22,185.81,296.86,206.53,272.30,234.89,120.35,193.97,319.52
P06987,2793.90,692.19,3067.76,863.36,1390.87,1294.06,2276.44,1475.43,1607.91,1323.86,1326.48,967.01,481.87,487.67,1217.10,2373.33,1281.36,1595.73,1877.04,1381.24,1449.69,1924.40
P07003,257.63,169.84,172.08,434.90,346.94,362.81,278.50,150.28,431.19,470.02,616.40,864.73,705.12,719.97,555.14,405.02,979.92,229.21,331.03,511.31,266.44,250.22
P09394,164.19,1298.26,1395.97,92.46,105.62,130.36,623.60,86.47,107.68,88.02,70.17,65.43,54.09,84.06,81.32,123.77,47.35,52.89,75.22,41.88,64.36,82.72
P0ABA4,7700.44,11885.63,16092.29,5679.35,7451.79,8325.28,7941.28,9233.16,6780.86,5654.15,4332.34,3007.76,2980.02,3028.32,6415.45,6263.07,5602.97,7979.09,7303.22,5275.96,8236.06,8789.48
P25437,550.59,1527.73,896.88,534.65,604.16,454.24,671.57,529.89,460.80,406.50,369.85,349.43,221.85,176.48,493.71,464.04,646.69,431.03,852.40,426.88,469.04,491.14
P38489,1503.35,2039.27,2137.50,713.10,915.87,1210.45,1149.26,997.40,926.87,839.15,620.34,400.92,243.44,276.56,1476.65,1509.94,1510.33,1098.07,885.56,562.92,788.04,989.77
P37744,635.26,1509.62,1205.75,405.32,483.57,600.15,623.04,381.45,477.35,417.51,329.93,235.61,233.00,252.92,498.78,588.68,518.07,702.57,432.34,263.12,461.30,522.60
P0ABS1,5843.73,19594.09,14807.68,3643.87,5535.18,6967.92,6499.31,4650.39,5509.82,4733.19,4090.43,3293.52,5263.76,5260.77,10477.31,7389.70,8436.98,6985.93,5676.02,4068.80,5475.92,5868.07
P45577,2318.21,4623.85,3787.57,1373.94,2304.29,2028.63,2509.84,1839.96,1991.92,1376.58,1060.20,825.37,655.22,551.34,2072.51,1932.71,2343.68,2507.94,1541.97,1404.14,2154.89,2924.00
P0A9Q1,3367.42,5464.00,4517.36,3057.82,4277.66,4482.76,3944.17,2998.98,3704.43,4400.76,4362.96,4296.74,4039.17,4122.52,4689.39,4526.77,7827.77,3338.11,4318.79,5961.75,4265.02,3362.95
P0AG20,64.30,98.33,74.53,52.27,53.02,70.98,59.12,80.47,99.72,92.21,97.26,95.18,60.92,42.30,76.08,91.94,65.42,70.94,63.42,47.01,47.99,72.82
P37903,1378.18,3013.18,1651.28,3198.99,4467.68,3963.57,3355.72,4700.77,4004.42,5795.87,6787.85,6968.64,3888.95,4792.10,1605.18,1780.14,1079.57,1776.58,4770.17,5087.42,4056.56,2215.52
P39177,1173.68,3223.53,1171.89,1351.78,1266.63,1962.15,1087.84,1071.40,981.02,1218.77,1459.53,1509.43,4184.08,4048.26,1453.00,1783.27,2334.60,1076.44,1088.72,780.27,1012.28,888.98
P0ADW3,5444.21,6149.99,6936.37,2959.23,4072.91,5178.04,5167.42,4919.56,4302.55,3334.67,3119.47,2421.76,2150.54,2667.45,4355.01,3962.69,3516.23,3324.08,3545.91,3259.54,3006.38,3814.15
P0ADN2,5671.28,7327.48,8807.53,3270.75,5765.11,4737.30,6416.53,5882.22,5250.81,3381.79,2891.64,2405.27,3227.17,3328.93,8153.82,8417.10,7172.07,6805.95,4707.14,4282.24,5268.79,6591.11
P77774,962.34,1670.26,1403.69,656.04,908.01,878.84,925.32,1109.11,731.86,812.23,650.86,609.19,621.72,527.69,1175.32,1114.90,1021.11,964.67,857.21,707.25,804.09,901.63
P76113,662.83,380.27,527.40,685.43,717.07,744.92,696.43,480.24,505.69,566.50,747.02,1020.01,819.25,772.85,945.72,440.62,1090.41,444.95,663.91,1023.64,492.90,441.74
P25519,239.14,436.75,247.87,170.59,207.64,190.62,298.93,265.81,262.25,210.53,183.92,180.34,108.45,112.86,191.24,259.37,204.91,224.33,296.15,196.91,228.18,342.89
P0ACF8,22541.35,47132.89,44798.60,25196.33,33303.14,24711.66,35150.21,33464.04,34712.52,32872.32,24206.86,24219.77,22027.87,26981.59,34965.04,18697.88,35876.43,27233.81,27614.39,23584.89,26041.01,36220.87
P0ACG1,6862.51,5241.20,2743.09,2121.14,2856.06,3928.24,2500.53,1898.35,3106.47,2251.78,1415.59,903.52,2962.52,2944.91,6726.67,14125.17,5383.50,3797.14,2925.54,2189.62,3143.86,3601.22
P39831,1891.07,2096.87,2281.28,1926.49,2088.02,2465.97,2360.87,2032.92,1948.40,1665.16,1677.18,1244.93,1437.29,1190.68,1901.04,2404.81,2643.55,2051.68,2017.97,1760.85,2529.71,2198.20
P0AC02,1371.51,2106.90,1819.17,638.56,1090.99,1055.05,1085.60,1400.46,772.81,590.65,485.33,400.55,545.13,506.14,1275.60,1037.64,1044.11,1093.14,927.69,632.24,900.83,1160.32
P39286,374.43,391.99,376.80,196.37,288.73,300.29,327.23,310.22,248.00,202.86,169.47,187.45,159.55,153.78,293.99,432.20,286.34,319.13,261.93,216.05,242.68,281.78
P77247,519.08,885.28,826.80,362.12,447.25,471.50,428.76,482.03,342.58,260.03,205.63,141.59,137.12,150.07,410.37,506.20,351.28,427.48,386.62,243.93,395.64,480.71
P76536,488.76,1097.82,781.87,426.21,487.94,422.66,530.33,539.77,533.11,529.37,406.25,356.52,135.94,121.74,593.64,949.57,548.78,493.46,419.43,312.77,388.49,456.35
P22255,916.60,978.38,924.38,822.55,880.88,1067.81,860.69,836.55,612.09,632.52,720.54,967.64,1822.98,1914.29,1196.25,1135.77,1516.25,690.01,924.51,1105.74,680.41,730.39
P0A9K7,338.16,587.18,557.88,202.65,349.15,311.70,486.10,412.54,412.21,347.96,310.58,272.10,140.75,157.32,203.34,313.95,323.01,362.65,351.31,351.22,345.62,332.80
P13024,373.46,1582.97,404.61,207.61,225.09,333.64,236.29,292.89,267.27,264.14,190.95,171.08,374.50,55.95,378.18,362.30,350.15,281.46,278.16,231.03,280.18,248.60
P27249,125.82,280.08,196.99,111.89,145.49,140.21,141.08,162.18,167.54,156.62,140.41,133.73,58.67,56.35,108.26,151.61,106.08,135.72,147.77,118.18,180.64,147.15
P0AC59,2665.85,1445.36,1654.00,1907.11,2359.87,2960.15,1997.39,2299.84,1840.07,1474.48,1345.60,840.20,3420.55,3716.72,8404.58,2891.45,5055.58,2708.60,2848.55,2779.91,2647.91,2399.74
P0AFL3,2576.35,2280.46,2242.56,2336.37,2284.48,1561.83,2225.18,2239.77,1143.21,1227.40,1028.16,1065.78,690.20,803.07,1487.85,2545.66,1416.77,1390.85,2067.66,1644.32,1820.56,1807.34
P0A862,24694.49,28898.98,34679.54,17468.63,20976.15,23905.26,23440.59,24350.41,25980.77,21680.73,19703.71,14887.58,26492.86,25398.43,42333.77,34927.86,36799.18,32275.66,23934.35,24384.69,26644.03,29014.73
Q46845,769.32,487.85,644.76,995.13,1121.05,941.50,1039.84,910.59,872.25,1001.83,890.03,1077.02,738.55,681.21,987.91,645.83,1073.22,834.84,960.24,1298.52,960.69,718.33
P0AG14,413.46,426.23,372.51,268.68,302.07,390.57,407.81,355.53,502.09,349.38,274.19,279.19,288.12,316.77,440.91,525.26,490.42,604.57,387.97,240.85,346.93,619.13
P0A6J8,140.48,897.09,769.92,96.72,89.37,108.52,90.92,112.88,82.86,60.39,38.57,34.12,162.98,143.26,297.87,182.63,224.98,245.39,81.74,62.38,98.13,130.22
P37636,12.94,24.22,10.83,26.18,8.86,6.60,9.83,7.50,8.43,9.20,7.03,8.45,94.57,95.41,17.97,32.71,279.29,12.80,7.84,6.92,7.31,6.57
P36767,561.08,739.29,587.88,280.37,400.09,437.54,424.86,450.12,343.72,263.05,228.77,216.33,324.62,297.03,510.05,609.24,517.70,501.23,342.77,375.10,439.65,432.85
P0A6X7,4675.93,4810.46,4281.12,3414.87,4168.57,4994.82,5008.29,4234.40,4395.23,3847.93,4423.34,4515.88,7805.98,6821.77,7111.55,6857.50,7936.88,4924.39,4677.49,5092.77,3960.30,4646.95
P0A9F3,523.34,619.86,604.30,303.24,407.94,544.39,402.82,338.35,450.77,332.47,262.94,239.91,202.46,132.85,262.58,445.39,472.77,358.26,316.71,278.45,351.43,359.74
P76268,546.19,865.94,712.13,443.81,599.67,663.43,563.92,547.06,552.92,515.64,430.59,427.46,276.78,243.78,479.80,692.29,615.46,604.69,640.65,571.57,665.50,710.49
P0ACJ0,6091.74,3554.90,6016.91,5415.84,6795.27,6813.25,7003.52,5777.60,8660.59,7874.69,7703.58,6711.72,4447.22,4350.49,7888.23,8024.05,7697.88,7640.55,5649.07,7500.30,5810.57,8056.68
P0A7J7,11140.03,27558.72,19476.08,4424.77,6400.33,7961.53,8005.54,5989.15,7119.53,4952.82,3818.15,3028.56,4315.74,4543.33,8316.61,10617.11,9181.75,8696.24,6517.60,4214.13,7570.04,9888.27
P68919,20176.32,45584.42,29689.65,9904.48,12774.14,15503.68,15540.43,11374.99,12683.29,9499.80,7644.88,5944.89,9392.25,8780.68,20054.10,19688.77,21319.58,19323.42,13320.73,8091.61,12510.14,17457.07
P0A7X3,8821.47,20837.13,14224.11,4480.34,6912.59,7384.32,7971.11,5852.24,8033.94,5260.92,3917.82,3184.22,3625.94,4081.14,6177.25,10002.23,8022.99,8766.09,5435.70,4148.72,5790.51,8335.39
P0A9Q5,1660.29,3439.57,2804.82,857.60,1377.21,1421.09,1735.74,1397.37,1419.22,1223.16,1077.14,1107.06,394.18,500.47,932.18,1248.75,990.90,1235.23,1684.55,849.06,1589.40,1969.04
P10384,472.40,3157.45,3027.12,2176.03,3940.46,1649.48,1328.48,2458.76,1629.99,3375.80,3808.05,3935.90,1477.25,1765.10,354.04,458.43,416.94,556.05,2580.04,3285.40,2129.81,636.33
P0A8K1,1620.12,1882.30,1747.89,904.50,1146.81,1282.46,1470.19,1508.48,1162.91,1096.81,1025.82,1079.35,770.14,854.70,1323.49,1334.09,1220.66,1256.22,1440.26,1074.49,1318.43,1663.01
P69451,149.56,539.15,375.53,227.69,350.10,175.42,150.39,262.66,331.38,457.52,457.74,412.49,228.65,235.57,209.74,303.43,104.16,138.52,264.68,224.77,238.03,134.79
P0AG84,149.54,78.37,105.25,186.56,144.24,197.92,106.40,92.67,108.22,124.39,229.49,294.04,387.77,403.69,211.63,171.55,257.09,58.05,164.73,364.84,100.23,53.25
P0AEZ9,2559.58,2778.46,2080.44,2618.31,2055.50,2683.07,2487.90,2250.67,2200.97,1336.33,1294.42,1340.70,6309.76,6135.45,7404.60,5454.67,6836.17,3048.19,2495.78,2699.09,1924.84,2426.82
P0AAB4,244.43,712.32,569.86,283.26,332.32,318.08,283.01,361.94,489.51,500.70,441.63,478.75,110.64,165.02,256.49,344.30,226.54,294.48,400.30,269.95,289.21,314.16
P0A759,550.38,1140.98,643.13,703.96,834.58,1416.55,803.89,563.27,902.97,916.25,840.78,748.08,779.57,683.61,536.42,764.45,1057.98,662.50,974.40,2576.22,661.47,723.79
P0A8G3,142.92,354.70,187.56,167.41,230.54,247.31,228.48,179.86,214.69,202.34,228.42,214.53,144.98,177.50,122.50,224.93,143.97,159.76,232.31,189.31,176.71,323.23
P37349,340.43,354.30,667.46,69.48,79.44,229.25,447.22,129.79,156.81,93.44,79.63,66.16,132.91,137.18,453.52,519.65,390.40,389.42,137.99,114.72,74.72,233.31
P69805,341.20,475.44,259.63,242.07,246.17,1034.69,384.52,209.52,2546.89,1785.52,1339.91,808.92,304.46,249.18,182.70,523.96,324.44,351.08,568.55,188.59,216.88,738.64
P39325,99.15,379.86,281.77,529.34,816.25,511.51,335.64,428.75,457.56,972.15,1362.96,1951.33,1471.51,1253.76,114.65,112.25,83.55,181.56,683.75,3003.04,724.51,198.84
P37051,2304.37,1294.26,1370.80,1139.26,1345.81,1550.38,1356.81,1014.63,1774.07,1204.63,959.76,754.25,1253.89,1118.90,1770.72,2967.25,2230.63,2190.13,1383.09,943.01,1675.81,2331.91
P08331,134.03,535.78,379.40,262.45,256.70,248.58,197.53,220.99,247.13,281.19,223.24,206.00,118.12,84.54,115.92,177.81,116.37,201.75,265.25,188.88,285.95,182.70
P11446,1717.71,231.45,244.60,833.15,931.72,966.51,1242.71,1074.64,1143.37,633.83,619.94,589.95,385.12,339.63,1320.51,1914.30,1879.30,1573.37,918.67,812.66,1046.53,1570.10
P16703,1533.03,611.79,1442.45,857.99,1086.67,1128.22,972.12,974.02,1167.42,775.94,533.91,489.81,548.27,547.38,1299.91,1187.06,1490.16,1372.13,800.87,641.34,1163.45,1181.36
P29745,261.54,203.52,169.78,313.62,281.19,277.40,322.70,278.96,287.51,259.19,254.95,275.08,247.97,226.38,284.47,348.47,381.71,227.26,286.55,281.15,208.85,274.57
P0A821,180.89,140.25,188.16,107.39,164.04,186.33,184.61,215.44,198.50,160.20,134.06,137.70,97.40,117.61,151.64,150.21,182.33,218.78,182.38,155.64,188.99,223.55
P30177,716.28,859.07,754.06,601.91,480.55,893.42,494.95,452.51,619.64,562.90,537.79,517.69,879.66,807.93,1297.02,1038.52,1553.61,815.94,561.58,726.30,455.17,642.04
P0A6L2,3589.10,3962.11,4769.12,2275.47,3066.32,3443.36,3807.36,3316.86,3071.19,2300.84,1932.75,1204.69,1824.59,1671.46,4878.13,4248.45,5035.03,4949.50,3639.23,2319.21,4026.20,4928.50
P37313,308.67,235.02,1603.61,416.10,744.21,459.95,575.19,640.99,568.82,557.61,452.97,434.72,43.96,65.10,171.44,503.68,426.61,501.47,542.13,402.82,736.61,550.64
P0AES0,183.52,101.70,81.44,67.63,66.91,72.63,82.98,68.18,77.75,53.38,40.28,45.63,150.51,139.23,197.68,354.71,460.73,201.89,81.44,64.78,59.71,163.19
P77444,507.78,177.19,324.98,413.05,366.28,349.64,367.07,419.48,336.44,321.48,273.09,237.70,371.48,403.65,1407.92,449.62,628.64,700.74,376.68,343.34,246.53,326.49
P00909,803.82,95.41,88.55,333.77,461.45,589.81,615.54,653.00,572.17,464.32,359.25,312.15,211.40,251.97,531.96,852.47,584.75,496.23,490.09,476.62,464.89,813.40
P0AAG0,366.58,434.25,1221.71,389.49,656.26,565.23,585.16,660.40,519.90,489.72,424.40,376.43,149.79,169.25,331.62,607.59,480.66,423.31,558.57,415.44,664.67,581.54
P0AFD1,747.95,5284.13,3003.69,784.87,1507.09,1659.54,1397.67,1192.49,1075.93,1330.60,1290.98,1058.11,186.78,213.84,553.90,805.47,924.35,792.89,1286.59,907.97,1356.21,1074.38
P30178,1634.00,620.74,674.70,983.10,657.98,1005.62,610.99,707.77,904.52,670.21,498.58,383.83,357.47,420.08,1051.35,894.83,1669.37,898.19,645.61,352.55,553.77,905.80
P25906,413.49,344.57,413.96,947.02,859.96,740.67,603.04,557.11,689.22,874.32,914.67,1411.11,879.59,971.81,591.67,221.87,633.33,326.56,666.94,883.47,578.35,343.11
P0ABA0,8987.81,13933.92,18264.49,5494.77,9734.95,9147.34,9955.83,11267.33,7597.66,5943.45,4337.01,3471.28,5132.74,4761.55,8708.83,8456.14,6359.65,9156.42,8574.69,5248.83,8841.28,9157.66
P24232,148.86,349.15,276.69,44.17,102.33,108.05,83.68,84.72,144.30,99.41,71.26,40.55,68.46,85.84,1014.91,229.94,139.98,167.60,140.73,53.78,106.25,129.62
P28304,871.39,678.49,909.83,1623.49,1222.75,1499.17,1249.51,1119.02,906.96,1083.43,1255.61,1814.35,1739.55,1718.22,1240.63,1406.51,2093.17,968.31,1331.70,2085.41,1017.58,893.13
P25714,841.69,2030.06,1523.33,486.17,713.56,839.92,865.81,843.35,1080.82,815.71,728.58,672.30,330.77,458.75,533.36,897.11,858.29,791.22,887.58,502.35,729.13,1091.32
P0AED0,37519.76,30073.15,27116.30,42809.97,30103.62,35266.00,33284.73,55564.03,45855.45,48442.53,55625.35,53570.14,13249.77,20160.10,44182.67,31152.03,25680.86,39231.64,51638.25,34690.68,24289.64,31447.73
P0AF28,1239.48,1765.39,1328.36,1109.37,1202.25,1541.56,1284.39,1040.95,934.82,808.78,747.91,490.05,803.65,632.49,1299.81,1633.25,1289.56,1150.63,1388.96,1186.41,1077.80,1063.39
P0A8I3,803.42,1104.88,906.74,431.51,518.94,746.65,599.15,569.89,461.51,365.55,290.14,182.83,107.05,89.06,535.18,673.50,540.61,737.62,650.83,386.84,537.73,835.41
P0A8E7,10057.31,10699.08,14429.93,6356.60,7516.97,8786.95,7733.03,8009.88,8007.62,6577.65,5915.28,6385.80,7151.99,7357.34,12352.17,12639.56,13272.27,8960.93,7247.83,7201.89,6753.03,8698.78
P0A8B5,6880.18,11962.63,9845.34,3611.14,5005.42,5220.97,5854.66,5501.47,4955.60,3480.29,2800.18,2589.64,3149.24,3267.40,7768.87,7446.81,7196.11,6037.55,5205.64,3434.42,5490.67,6422.28
P76097,42.57,61.18,65.80,54.82,126.33,61.91,83.84,49.81,67.45,78.69,106.50,142.49,73.17,59.15,40.96,48.84,59.75,36.91,59.21,98.33,65.36,43.71
P43672,155.53,419.54,255.60,95.34,93.07,120.28,111.00,106.36,142.74,109.91,86.32,69.62,37.24,45.29,104.83,117.27,112.24,126.08,126.68,76.92,115.51,157.45
P33920,832.65,1147.16,1094.63,480.13,725.87,585.50,665.55,571.42,635.25,556.60,483.83,516.44,395.90,347.00,580.13,648.01,593.04,750.26,762.55,610.59,774.32,853.20
P0ADR8,198.78,597.17,296.20,182.54,245.04,218.08,230.73,160.85,246.98,238.02,207.82,192.69,164.85,177.77,177.64,137.14,314.19,260.93,209.29,197.47,222.94,209.28
P0A894,231.40,224.73,152.42,164.74,225.03,208.29,224.27,220.26,212.73,201.37,208.92,186.54,96.16,104.74,201.60,355.44,254.04,247.31,237.56,216.06,209.59,235.90
P46853,424.08,791.91,608.16,334.38,369.40,385.78,411.83,404.91,323.59,311.95,243.29,236.38,346.51,236.61,559.33,485.26,602.53,460.77,309.97,291.79,356.22,406.88
P31658,627.91,848.22,299.70,1216.92,773.59,1038.20,601.66,343.81,529.95,572.83,701.45,815.62,2156.19,1765.27,1211.23,2570.61,1863.61,413.42,718.78,842.18,527.44,462.12
P0A9V1,1635.12,2132.07,2060.09,916.98,1393.90,1161.86,1418.70,1414.52,1144.04,970.11,951.03,880.25,618.40,576.67,1128.30,1216.42,1206.75,1143.28,1091.23,1010.47,1116.22,1308.23
P33940,146.36,254.94,88.98,46.73,13.03,18.64,12.00,222.35,10.24,10.09,13.77,8.94,19.88,24.08,181.35,29.46,45.74,303.89,13.77,27.90,28.82,130.79
P67087,382.61,512.55,336.21,243.34,259.09,270.83,294.61,322.14,223.65,187.47,155.37,131.69,160.13,154.22,310.48,299.15,261.17,301.66,268.99,223.76,233.44,283.12
P21367,1883.61,998.18,1416.36,1751.20,3686.21,2726.71,2658.03,3070.93,1886.06,1952.47,2601.53,3213.37,3847.50,4316.83,3328.71,2285.41,5705.37,1636.03,3138.04,5614.55,3352.55,1621.96
P04846,1866.53,358.26,663.44,1212.85,1060.34,1613.16,1554.81,822.49,1403.51,976.34,821.91,697.13,858.69,593.14,1276.02,1497.78,1114.10,1628.52,1097.91,946.69,1058.85,1558.98
P31142,821.28,2204.96,1387.74,1264.26,1541.87,1391.39,1142.31,1616.18,1073.39,1070.48,1172.95,1303.61,701.95,1013.40,1258.31,892.89,1326.39,1009.77,1505.90,1351.96,1346.07,988.50
P77318,13.61,146.56,54.68,135.70,116.76,526.57,38.96,84.46,91.35,132.96,121.27,71.71,10.94,10.61,37.48,18.39,28.56,26.41,195.48,266.06,94.16,17.93
P0AG82,305.18,300.81,397.86,229.76,372.54,421.38,464.41,425.37,304.35,263.87,227.47,199.62,223.84,235.99,365.15,464.38,660.77,415.68,360.55,296.43,392.58,379.83
P07821,154.49,200.55,NA,50.12,490.22,112.37,127.21,31.60,68.34,53.49,211.68,30.30,43.33,29.92,126.93,156.59,131.12,NA,NA,32.67,82.23,NA
P06610,1158.19,889.68,1111.41,1221.01,1135.30,1294.29,1184.37,735.65,904.69,968.28,1021.34,866.68,747.02,713.86,1927.58,827.40,1729.96,857.09,1032.05,1319.03,877.95,778.58
P0AEG6,1420.75,1355.67,1194.69,474.94,710.58,504.75,625.86,1071.69,404.05,272.99,235.33,193.22,297.43,307.01,699.03,680.45,731.50,465.30,471.60,363.97,396.36,636.92
P0AEG4,4137.96,4121.01,5261.56,2133.53,3168.63,3110.90,4309.36,3610.69,2684.19,1912.94,1553.36,1202.22,2011.82,2075.17,3200.57,4545.48,3568.95,2977.81,2992.88,2020.91,3224.47,4238.76
P77522,266.15,224.23,274.34,215.13,344.53,347.51,255.31,273.13,225.96,359.33,352.58,222.82,378.59,374.98,813.48,529.69,359.95,543.24,309.24,442.68,246.20,311.08
P77499,627.56,297.74,560.35,394.33,442.14,526.87,529.51,619.45,358.86,271.33,245.24,196.08,1001.60,819.55,2281.53,1139.13,1041.92,1037.79,602.87,521.00,451.17,640.97
P0ACA7,626.53,364.18,700.41,802.12,570.75,671.89,594.20,597.46,979.42,943.29,1035.42,804.37,223.06,264.90,837.76,373.06,637.52,502.00,444.66,617.42,339.00,432.08
P0A9D2,685.03,412.47,505.38,856.03,779.47,844.73,786.62,871.88,770.29,824.22,865.29,772.14,574.04,538.53,1074.33,672.79,887.91,672.03,785.60,871.80,614.80,579.42
P04949,3.05,5.02,26.08,3.40,36.28,198.65,16.78,4.04,148.25,537.98,125.38,11.57,9.31,3.98,11.98,5.94,3.30,4.86,26.98,15.96,41.36,9.84
P69776,48939.47,65769.06,62401.18,41895.34,52380.83,78662.50,47094.03,40623.94,57441.28,59980.73,43689.44,41916.43,139676.47,81301.73,69549.62,57148.40,72294.45,71430.52,44925.38,37621.23,51325.23,53084.95
P02919,90.91,104.34,104.09,55.02,66.63,92.06,83.46,123.81,116.07,117.28,116.12,116.18,59.15,52.80,48.37,103.15,99.19,105.83,132.39,59.32,78.66,137.36
P17952,434.74,670.76,437.54,321.44,330.19,316.12,342.10,396.95,282.52,209.83,203.79,143.60,288.02,286.32,418.01,630.65,512.82,455.63,359.16,242.40,360.86,397.98
P11880,530.49,850.00,663.81,508.98,487.12,336.13,474.62,495.82,417.11,271.67,231.83,190.82,213.09,200.13,445.02,524.37,556.74,425.98,336.62,237.86,262.70,310.76
P0A912,18234.24,21384.18,41190.29,12381.63,14372.16,21816.90,16182.06,12231.24,18801.31,14039.33,8775.89,5888.52,16578.88,15192.61,20806.30,17269.74,22086.78,23022.64,14028.45,8638.40,16354.16,17601.74
P60390,373.51,497.93,383.37,308.18,300.54,281.64,332.30,430.30,232.33,184.75,162.64,165.44,210.32,221.79,355.59,556.18,451.04,448.50,369.13,301.72,353.63,439.08
P0ACB0,207.35,320.43,231.70,161.68,129.96,136.61,128.24,130.50,129.58,124.84,82.45,74.55,71.45,71.30,158.54,146.92,126.50,153.63,124.95,108.32,129.06,163.76
P43329,31.65,59.92,41.52,20.18,20.68,32.40,22.93,23.65,36.79,28.40,27.56,23.97,11.48,15.36,16.00,36.59,23.43,25.99,25.61,18.09,23.65,37.22
