upid,GLC_BATCH_mu=0.58_S,LB_BATCH_mu=1.9_S,GLYC+AA_BATCH_mu=1.27_S,ACE_BATCH_mu=0.3_S,FUM_BATCH_mu=0.42_S,GAM_BATCH_mu=0.46_S,GLYC_BATCH_mu=0.47_S,PYR_BATCH_mu=0.40_S,GLC_CHEM_mu=0.50_S,GLC_CHEM_mu=0.35_S,GLC_CHEM_mu=0.20_S,GLC_CHEM_mu=0.12_S,GLC_STATIONARY1d_mu=-0.01_S,GLC_STATIONARY3d_mu=-0.01_S,GLC+SALTS_BATCH_mu=0.55_S,GLC@42deg_BATCH_mu=0.66_S,GLC@pH6_BATCH_mu=0.63_S,XYL_BATCH_mu=0.55_S,MAN_BATCH_mu=0.47_S,GAL_BATCH_mu=0.26_S,SUCC_BATCH_mu=0.44_S,FRU_BATCH_mu=0.65_S
P33363,157.20,323.96,259.08,116.53,138.59,124.75,149.77,157.25,112.96,100.07,79.34,55.83,57.33,54.23,94.87,121.27,86.95,137.29,118.99,74.13,115.94,126.64
P0C8J6,4938.95,11402.34,12276.86,38994.87,26974.30,15536.94,14000.08,17086.84,22425.91,23038.99,16482.71,19398.99,912.10,799.54,2637.33,1866.94,3891.11,7352.76,19954.60,15768.10,25687.70,12284.62
P69786,2775.14,1616.55,1023.32,559.21,794.19,2339.79,917.17,742.41,9402.34,6752.73,3919.32,2381.23,1173.96,1414.77,1518.67,3328.65,2355.62,1322.78,861.58,642.32,782.69,3180.21
P05020,4485.43,1029.83,1611.99,2402.88,4090.36,3330.24,3499.13,3717.51,3403.35,2288.12,1451.09,1152.28,2724.93,2571.80,5648.29,4483.39,5175.57,3991.82,3306.93,3020.11,4427.08,4284.31
P11447,2883.05,807.73,634.73,1218.71,1415.80,1593.61,1801.97,1328.27,1523.30,943.69,803.45,737.65,1157.78,750.12,1805.61,3331.65,2507.86,1922.22,1460.48,1019.54,1281.05,2019.19
P22106,1153.98,828.49,6790.69,971.97,878.62,981.90,1191.77,1304.51,1043.71,973.04,784.24,593.34,351.20,313.93,835.55,1946.87,1144.88,1220.66,1109.01,689.17,779.81,1542.02
P00509,6984.81,4144.97,5583.44,7852.71,8584.46,9101.56,8700.69,8218.06,7921.68,6683.26,4337.60,3112.57,3024.91,2859.78,7744.26,7438.81,9963.94,9983.72,8643.68,6698.27,9920.32,9171.44
P0A836,6213.32,15855.07,16159.88,19647.32,14111.94,15077.30,11672.65,18431.54,15488.57,12857.38,10425.79,9453.03,2289.55,2481.85,4642.42,5951.72,5120.88,11711.81,15248.71,7735.25,16995.40,11574.49
P0AGE9,6923.99,19013.34,20933.12,25370.03,14862.10,15755.08,12728.51,19454.76,15468.60,13091.34,10351.50,8930.31,3655.34,3500.87,7173.43,7084.84,6877.94,11504.51,14387.98,8240.72,16261.62,11995.55
P0A6H1,3250.98,5493.75,4161.86,1567.89,2148.15,2108.52,2648.76,2021.03,2326.47,1701.01,1316.06,1038.18,994.83,1230.44,2800.70,4016.88,3045.99,3337.28,2153.67,1707.23,1953.85,3181.17
P0A6H5,1367.04,4825.29,2666.89,858.54,1187.85,1300.33,1351.01,984.95,1285.90,1039.97,810.33,714.71,1041.80,933.56,1125.78,2370.32,1644.23,1606.86,1202.47,749.00,1278.10,1553.46
P30958,73.15,129.73,86.54,73.32,66.92,84.01,62.45,106.02,102.75,93.99,61.93,71.88,39.06,50.73,55.33,120.86,101.66,89.77,85.53,52.12,77.70,92.78
P08312,5078.27,6584.14,5410.81,2650.67,3556.51,3600.55,4037.83,3740.12,3916.05,3415.24,3325.78,2977.66,1929.67,1827.37,2911.84,4644.74,3780.91,3675.61,3871.24,3105.54,3461.24,4408.48
P24182,1810.29,5351.96,3168.08,1046.02,1568.59,1332.64,1585.91,1376.08,1274.86,1090.09,867.39,768.89,778.97,743.74,964.28,2184.16,1612.23,1451.18,1396.93,1044.77,1567.04,1778.29
P0A953,13467.48,23273.73,22951.75,10932.18,12979.28,13562.63,13960.23,14117.31,12733.98,11361.20,10025.96,9498.62,6096.80,5749.61,13101.14,15282.08,15506.53,12334.37,12580.88,11988.92,14156.37,12407.69
Q47146,86.44,189.15,128.86,310.97,186.78,218.04,118.21,403.22,415.98,528.72,443.57,346.92,260.72,263.94,142.38,146.63,51.30,119.58,288.89,111.43,141.11,197.01
P0C8J8,1413.11,12319.80,4942.97,11765.92,5520.77,6579.36,2891.96,6296.09,3805.02,4062.13,2647.43,2526.58,287.89,309.34,801.78,1015.48,979.04,2557.74,3636.87,7007.34,5814.78,4363.24
P0A7D4,6862.75,13170.53,4918.17,5985.80,5336.97,5946.77,6452.94,6140.08,8399.74,6694.37,4795.24,4565.32,3589.80,3795.84,6669.17,4885.54,7551.77,7917.07,4620.42,4776.26,5623.11,6727.94
P0A7E5,960.17,1990.58,1158.08,389.76,666.84,633.46,755.46,626.72,707.30,450.58,350.47,265.00,366.42,370.21,622.01,786.28,717.64,775.08,581.93,475.84,746.46,916.10
P00895,1089.99,269.01,242.92,466.36,726.92,960.92,1317.64,990.86,1557.51,1091.49,877.75,789.83,308.53,295.89,724.95,1387.42,810.49,783.71,857.98,818.49,786.31,1472.38
P09832,2965.24,323.20,496.77,1293.05,1501.54,1675.10,2326.67,1552.87,1427.95,1286.31,1241.34,949.19,160.35,94.47,1091.21,2265.45,2949.03,2327.35,1480.08,1649.62,1393.92,3007.98
P08142,1822.62,2173.93,2020.38,1404.58,1489.63,1584.12,2036.82,761.55,2062.66,1617.12,1203.42,1097.53,76.94,81.91,1232.33,989.34,636.36,1650.19,1954.33,915.95,1705.62,1648.09
P26616,528.31,1347.71,893.47,611.75,584.10,464.12,481.06,479.95,533.55,368.77,290.01,238.57,128.68,166.26,296.78,359.67,285.41,445.33,442.07,283.82,519.10,511.65
P07014,2481.46,9035.60,6147.36,7106.48,4362.77,4626.51,3332.15,5224.65,3939.10,4218.29,3573.15,3502.00,748.43,706.24,1793.63,1710.94,2208.61,2971.90,5136.56,3076.52,5865.06,4131.69
P37689,2655.66,2063.96,2464.51,459.94,725.54,2000.80,1656.68,593.34,1709.43,799.15,664.82,555.82,919.21,979.76,1937.45,2579.93,3059.92,2466.19,1086.86,943.75,644.04,3645.20
P38054,356.12,203.63,167.60,371.59,427.70,150.68,451.98,277.30,336.98,307.35,209.43,158.79,252.58,82.67,158.30,497.31,308.42,311.66,466.90,249.33,441.40,771.06
P0ABC7,1349.36,2346.26,1672.61,979.75,1330.53,1105.02,1508.50,1405.77,1320.76,1166.89,1066.16,909.93,749.07,797.51,987.52,1646.67,979.88,1200.57,1313.59,898.64,1096.53,1510.80
P02930,4884.36,6584.35,6391.70,3449.14,4196.39,4308.58,4795.41,3737.13,3278.64,2881.14,2593.24,2501.39,3002.30,3266.30,5240.07,5278.23,5327.08,5211.87,4831.50,4373.63,4628.23,5377.59
P62399,31769.31,69275.22,50152.27,13321.30,19298.80,20812.85,22716.89,15729.21,20922.56,13136.59,10394.67,8097.73,9459.89,7686.79,21561.59,26236.79,24713.02,27202.04,22578.77,14264.65,23441.54,31745.08
P0ABD5,3825.18,7971.66,6784.94,1943.71,2825.62,2717.71,3077.27,2903.66,2808.77,2315.23,1950.01,1901.56,1432.42,1575.50,2991.66,3427.47,2928.15,2717.99,2904.98,2328.11,2616.15,3132.06
P0A7A7,192.46,370.44,219.40,162.34,176.45,194.14,189.63,278.51,264.43,239.40,258.22,283.63,186.31,149.37,135.09,303.14,218.05,217.91,199.15,178.27,174.75,256.74
P05459,737.24,801.25,831.21,381.02,530.50,656.68,645.83,621.25,575.00,471.92,388.50,354.07,488.83,401.18,716.09,828.14,960.75,740.56,581.93,564.09,676.51,850.45
P23721,18150.12,3177.75,5737.04,8002.20,7695.83,10627.26,9685.65,8721.65,7669.81,6022.20,4739.23,3261.38,6297.39,5723.04,17258.42,18691.12,21310.76,15675.76,9853.95,7995.79,10046.52,15637.17
P0A867,1446.18,953.16,1115.04,1326.72,1278.68,1483.38,1363.87,849.32,965.92,1062.75,1516.46,1879.46,2894.07,3219.91,2017.39,2302.78,3784.08,1192.40,1303.57,2589.38,1109.20,987.81
P00944,260.08,556.04,399.11,219.13,204.34,245.84,228.46,194.74,211.83,181.40,167.40,167.46,165.11,172.60,287.14,329.19,348.33,30350.76,193.67,210.57,221.79,239.80
P0AC53,1233.79,1507.95,1153.86,624.93,842.96,1117.48,1171.38,997.87,996.97,815.56,863.83,920.49,1056.15,1010.58,1291.35,1849.36,1561.50,1773.07,985.75,1197.86,870.69,1519.35
P08660,3720.21,383.19,474.40,1317.61,868.56,1401.49,1832.45,2151.95,1576.99,875.85,590.85,447.27,841.41,815.88,2160.30,3177.45,3664.51,2770.73,2174.44,1021.24,1103.68,3263.93
P07023,1416.01,500.59,327.69,866.47,590.79,753.52,1232.99,2267.25,1043.37,506.54,383.10,318.39,190.77,124.29,461.41,1236.22,702.97,447.42,724.95,631.49,589.50,1805.75
P0AEM9,11401.71,3132.85,8453.98,9114.74,9254.96,11166.10,11400.85,7941.52,8873.13,6956.09,5875.42,5140.48,8946.77,8973.73,11001.51,11015.10,15377.40,8175.89,10097.76,9467.21,8826.27,11498.03
P0AFG6,5252.02,15565.00,13585.69,10291.98,6935.09,7556.78,5557.81,9947.54,6097.16,5079.49,4077.63,3836.15,3484.03,3943.17,5468.61,6112.81,5921.66,7246.29,6494.62,3454.00,7196.56,6295.76
P22259,1147.23,9848.28,9999.47,7096.87,8349.11,6004.39,5291.53,8611.17,5552.83,7880.23,6325.01,5504.30,1201.68,972.22,1192.00,1126.27,1012.36,2848.20,6681.08,5397.38,8367.24,2422.07
P0AFK0,1295.24,1789.07,1551.74,877.70,871.99,877.99,1071.74,905.66,783.45,713.07,555.47,540.37,319.51,349.86,1124.61,1132.25,1137.23,1077.20,941.14,658.21,843.78,1045.81
P0ADE8,1610.07,2456.72,2423.05,1628.59,1780.91,1776.17,2019.87,1789.39,1598.62,1361.43,1202.22,1069.94,848.75,777.08,1503.10,2205.79,2037.25,1984.80,1763.76,1655.23,1837.32,2081.54
P05825,373.87,221.71,373.96,130.66,165.61,330.22,181.88,211.75,129.12,104.10,101.01,71.72,1366.03,1493.70,2025.94,247.46,521.01,839.97,174.38,108.64,202.10,238.96
P75780,202.07,376.62,480.72,98.31,116.17,244.38,111.24,64.61,109.93,69.97,48.65,37.92,1098.08,1078.64,1628.12,200.19,562.91,659.91,83.07,59.81,127.39,132.45
P09169,13907.67,7843.30,18400.12,8656.79,11122.83,11163.24,9578.66,7822.05,10293.02,8301.89,7206.43,5432.60,7261.09,8307.72,17958.88,26648.90,13936.21,12606.21,9674.21,7419.94,10809.59,9831.30
P0A698,127.21,228.03,131.15,104.84,105.12,168.91,117.57,106.01,142.31,135.22,142.07,172.88,135.17,133.63,125.35,175.12,210.34,143.13,101.25,140.56,112.22,124.66
P0A9P9,600.67,1048.15,NA,391.03,500.12,14987.92,385.16,444.16,488.02,571.00,490.08,360.28,606.66,430.70,524.76,529.97,511.70,NA,NA,287.88,403.89,NA
P18843,3938.78,2221.82,2916.67,2352.65,2353.88,2547.88,3084.48,2187.41,2609.86,2016.08,2005.92,1752.10,1985.11,2059.61,4553.79,3508.45,4157.05,3532.41,2664.45,2568.62,2147.88,3320.27
P0A6P9,36149.56,40037.24,41120.00,19246.60,21412.78,30879.54,26523.49,19565.06,23999.10,15737.46,14109.99,14590.77,30290.59,30460.44,43102.33,38136.76,48089.00,47429.00,26705.23,26022.83,23506.71,52588.76
P27302,3883.25,7518.92,5274.66,2661.14,3662.20,3210.98,3392.17,3674.54,3387.55,2823.34,1960.99,1508.16,893.82,865.16,2486.59,3370.86,3181.95,3945.36,3191.86,1625.12,3720.72,3669.14
P0ABP8,2763.66,18649.16,7113.18,2241.74,3099.20,2695.10,3391.06,2187.10,3043.81,2692.79,2522.82,2161.20,1807.48,1650.36,2874.57,3155.66,2903.65,2882.77,3111.40,2741.29,3259.42,3228.43
P24171,590.64,410.83,626.95,532.12,587.90,544.84,532.71,392.72,484.94,425.00,397.94,341.30,294.10,243.53,668.06,651.20,749.50,686.54,515.98,487.54,410.68,500.07
P37095,3154.54,3891.03,4805.51,2672.73,3114.21,3227.90,3463.74,2712.55,3873.99,2996.37,2681.00,2702.84,1228.27,1317.04,2417.20,2760.13,2135.97,3172.53,4087.49,2576.13,3347.27,3399.33
P09551,6161.29,4553.44,7114.28,12700.47,22538.49,14051.36,13118.20,16269.31,12148.10,22781.66,23995.23,24774.56,6511.33,6179.97,5841.59,3823.41,4574.87,5243.65,22448.66,29462.94,20307.20,7772.56
P31660,470.07,277.94,155.52,156.27,650.91,415.13,300.66,198.04,248.57,984.79,1091.68,795.31,233.90,203.25,541.80,709.34,330.85,449.87,330.38,1044.84,275.29,374.89
P27306,444.54,2699.26,2910.64,1315.08,1818.73,1306.03,1020.24,1125.42,2048.16,1553.51,1236.13,1161.23,298.20,313.16,432.33,320.28,523.24,770.63,1283.70,1177.82,1998.11,705.60
Q46856,1051.82,5795.58,663.58,452.52,436.30,456.90,1622.08,457.48,669.58,357.41,351.83,322.52,712.11,757.12,1444.89,3363.54,660.03,1772.13,511.17,351.59,265.69,2683.38
P11454,42.72,31.61,50.70,33.09,25.50,43.76,31.77,31.96,35.46,27.46,30.37,15.30,58.57,68.55,264.52,47.44,78.94,166.71,19.21,25.82,23.03,32.22
P0AE06,2423.40,4522.42,3135.97,1247.51,1784.97,1923.77,2050.08,1940.72,1679.51,1500.72,1324.56,1249.87,1567.42,1428.54,2147.89,2479.42,2365.77,2101.76,1807.67,1531.32,1816.45,2161.38
P02931,24017.45,15900.64,66033.91,20980.37,34911.12,42433.76,36613.12,27426.54,44749.77,45283.09,33812.03,25176.86,8105.80,8718.24,11332.51,8628.56,12146.33,23154.64,30964.36,19739.16,28642.75,27043.02
P0A903,1753.49,2345.78,2245.20,903.49,1166.63,1556.21,1349.14,1393.08,999.61,886.10,745.79,643.06,1430.09,1155.29,2405.05,1801.25,2152.47,1694.46,1471.00,1207.45,1355.30,1650.54
P60906,1889.00,2845.04,2410.93,979.45,1255.66,1243.70,1328.27,1179.18,1174.41,956.67,823.60,720.98,620.19,648.88,1065.90,2056.83,1281.34,1632.84,1279.14,1088.20,1284.29,1668.50
P0A7L0,28501.75,76876.99,47365.92,11672.04,17445.00,19397.33,20511.32,15168.81,17008.06,12046.24,8259.63,7744.87,9631.75,10588.27,21183.61,23302.13,22215.13,24472.95,18986.55,12511.14,18602.83,26063.43
P0AEK4,5013.93,9391.47,7244.07,2893.53,3970.83,4021.26,3820.77,4005.93,3835.89,3063.37,2532.44,2435.67,2467.00,2060.11,3239.59,4008.63,3923.67,3118.73,2602.62,2307.72,3420.64,3592.88
P02943,902.77,2584.65,3675.16,1031.92,2084.01,3312.19,1670.51,1206.37,2979.29,5791.19,3176.29,2391.88,175.93,226.53,528.94,495.10,497.66,481.69,1993.42,1159.07,1519.16,1192.66
P00490,274.47,442.18,347.83,156.56,222.92,306.72,274.16,221.75,564.40,446.69,338.56,220.62,126.03,128.36,135.83,215.77,291.59,226.17,397.41,177.23,237.47,438.95
P0A796,1448.21,1376.82,1479.56,833.56,1004.18,1120.02,1269.07,809.32,1407.15,955.63,891.65,821.39,586.98,657.65,1179.92,1137.95,1322.97,1573.97,964.95,1165.16,832.72,1988.01
P00550,569.91,1626.33,1610.79,812.32,1167.74,1136.29,1294.31,547.91,1659.58,1776.71,2259.61,2308.65,1124.72,1432.08,425.53,888.21,765.61,830.63,1611.64,1216.72,1120.81,1014.02
P02925,5038.32,20978.80,19251.36,13629.53,22713.86,17335.39,18596.57,26849.13,15985.06,20164.99,20926.27,20437.44,5864.93,6312.08,2968.94,5294.66,3650.92,3592.40,24566.93,23418.06,22036.61,10738.76
P0AB89,1933.06,1441.74,1882.92,713.57,1407.19,1526.58,1495.61,1509.24,1828.53,1091.55,827.03,670.23,765.89,772.45,1380.42,2238.03,1527.20,2118.38,1509.77,914.34,1960.93,2480.09
